,pred_Tree_0,pred_NN_0,pred_Tree_1,pred_NN_1,pred_Tree_2,pred_NN_2,pred_Tree_3,pred_NN_3,pred_Tree_4,pred_NN_4,pred_Tree_5,pred_NN_5,pred_Tree_6,pred_NN_6,pred_Tree_7,pred_NN_7,pred_Tree_8,pred_NN_8,pred_Tree_9,pred_NN_9
0,320.38693839092844,321.6966,319.30275013802543,313.06863,320.51589014772395,316.7545,321.00900709685664,317.03903,320.5006611912992,318.79913,319.21211655517175,315.29572,319.8632994413621,317.82907,320.41401365664944,315.83926,320.1293174915909,317.8688,319.3840898914841,316.75815
1,381.5049125584452,383.6968,381.5173521946829,376.01163,381.60690447267274,381.0165,382.507480859858,380.37296,384.2296993265386,382.3905,383.3692958296125,378.32935,383.30648682874676,381.95044,382.1472762188999,379.8155,382.7188278185718,383.20068,383.1451413405586,380.43915
2,391.98496005377126,394.1638,390.7404097038187,385.99466,391.65264001731697,391.25723,391.70560895599016,390.2772,389.644338620269,393.06067,391.48580712997943,388.0288,391.2817486405086,392.05658,390.60192423038524,389.86343,391.82528256620554,392.4718,391.35302857874956,389.6057
3,383.3594281095914,384.51102,384.98460582842506,377.92868,385.32196945015147,379.7913,386.4884679260141,380.5727,386.13044182623554,382.85672,385.4929184473283,378.08105,385.36786060973714,383.81018,384.6159562921411,380.75714,385.2614359406433,383.6376,384.29862792973955,378.2728
4,405.19013653069806,409.79904,404.38239762423154,401.28003,403.4128730183679,404.75546,405.6696235424772,409.86453,402.35308984875167,407.00098,403.8494122929099,407.75037,404.8419865711582,408.87433,403.0727718188029,408.6374,403.4960943828483,409.68015,403.33591228318954,409.567
5,397.0224527685869,406.0274,394.4427372115421,397.09482,395.6456020011817,399.62216,397.5504318370948,406.46738,396.94976287399123,403.03558,398.09203995717075,403.16245,398.0320063861242,405.29575,396.9205357004936,403.64407,398.14693129140977,404.959,395.52594768776385,405.94144
6,398.60987740156475,402.2073,397.56513809798673,394.1734,398.7382878814905,396.1885,398.40523047249934,400.93353,395.97655666168725,399.9394,398.0972008364425,398.21033,398.6543400609225,401.2355,400.7939245826362,399.74597,398.36965601583006,399.69055,397.7289840490319,399.973
7,397.3919954470004,402.12537,397.45574719328033,393.216,397.3838242090425,398.24094,398.1074923767574,398.4157,394.81673342615494,400.5484,399.9753318356621,396.33063,396.9834578688368,400.3293,397.6586891737252,398.83154,396.4081967339888,400.64853,397.52612781518667,397.686
8,382.15222265032276,381.37283,382.1144242120476,372.77826,382.5548417062856,378.07547,381.9498143934998,378.4932,381.8698599935363,379.5063,381.7818987521935,375.76514,381.8249110654786,380.68884,383.1711184671078,378.93777,382.2472440796124,380.23697,383.5419871904838,376.67337
9,395.27374737317047,400.40836,395.5211436075592,392.34744,396.0227773030467,395.7643,394.58500506882484,395.47055,393.83388817727956,396.67844,394.17489455844435,392.07434,396.09489443147305,397.0989,396.19730874680414,394.32275,394.0421462870748,398.64316,395.25378509365305,392.7478
10,326.20643409203245,325.6049,325.5375611155298,315.70682,326.70934263822704,321.61703,327.05665328995565,321.3721,326.5532284481064,322.49286,325.87440823326426,319.78833,326.932903260974,320.98178,327.00423625625194,321.203,326.69793460671787,322.25253,326.1584663823543,320.94092
11,393.598754812656,399.91818,394.2642418674072,393.37024,394.3637978473891,396.00967,393.3551975871669,397.46622,392.4778591945276,397.57553,392.1597627505688,393.10965,393.41336470947914,397.24014,394.0056442295079,394.15842,393.2839699369881,398.1863,392.94405146893513,394.86288
12,305.9392020203761,311.5132,305.50719690227515,302.99356,305.8638465931977,307.43082,305.96536414602053,307.29404,305.39599607215393,308.18433,306.4894107540582,306.28162,305.77953383225724,306.7792,304.5377009745504,307.37497,305.4896572017011,308.3768,305.5874373359319,308.10986
13,407.05451240204104,413.81586,408.07299491708824,403.3905,407.95400644835235,409.46573,407.4597428485103,410.96396,407.60261763526364,411.97845,407.00670503219396,407.95673,408.46208422283127,412.45853,406.6658763298701,410.02383,407.1765847191928,413.00552,408.8830379561458,408.93533
14,386.8837781350724,391.65994,387.048539571624,382.02945,385.96473475251497,386.38754,386.3755240064507,388.51004,385.5683527162415,388.1855,386.0786849704944,385.12915,385.4142658456707,389.81012,386.3799599317637,386.36896,386.35679474450075,390.20056,385.8431035889692,386.16705
15,399.6537181030218,402.48535,397.58001380894626,395.5027,398.80929883875416,397.87372,400.00249981863783,401.27338,399.03145842416234,398.64893,399.704702253127,399.35287,399.6752269140724,401.32968,397.70338907349145,401.64648,398.3644580350417,402.44754,399.7922887803362,401.037
16,376.869184589637,378.32806,376.8395418135613,372.49844,375.170039334898,373.74808,377.4125745365973,374.8192,377.27203371857354,376.20758,376.030435960777,373.00772,374.7377582139236,376.73953,376.14502344213577,374.82635,377.0401205728659,376.15607,376.4170985995179,375.70724
17,393.0748858597475,395.8999,392.26583150512545,386.0085,392.2162546751339,390.6308,392.68724694050246,393.34982,392.5036741076678,392.21985,395.08984845770584,389.65533,393.05681112538167,394.04248,391.6744708722257,390.4472,393.23219673850457,395.1284,390.31643106156986,391.12625
18,409.05190224962485,411.24875,410.16969379707893,402.10846,412.2155678658916,406.26038,409.4433928274417,406.55872,410.2865082969766,408.56155,407.76428261191427,403.4714,408.7521475312351,410.09692,409.154861943858,406.757,409.81879938483854,409.80658,411.5129046781139,405.22324
19,399.4981459072758,405.94623,401.9981174864243,397.2649,401.01187066854584,401.59692,400.09375996725527,402.96445,401.5142838805524,402.98798,400.1027589485653,399.98743,399.07045543588873,405.26468,399.62346876307345,402.77536,400.7441823830958,404.9597,402.4435070617568,401.66135
20,349.192435320128,349.00507,349.3285497844127,340.90378,348.6629121075069,345.169,349.97407534208554,345.47336,348.5494086932574,345.14294,349.6847317154837,343.17426,349.3176450717789,345.28494,348.8745174599225,344.95166,347.7238080096738,346.48276,350.4783169493719,344.14166
21,403.7740954782781,405.73123,401.417145664229,395.46432,401.89178886710147,401.153,403.1186356484293,403.50143,404.5111893088066,404.20386,401.4837148439449,399.76526,403.87582034350663,405.09668,403.7857944738822,401.31882,401.36070521568735,404.73416,404.6360366362984,401.8435
22,405.7857179196646,410.3067,405.95960284627336,401.03052,405.3587784201729,406.17957,405.69700312843395,408.70773,405.11479380469393,409.1081,405.3473318528755,404.9914,404.0730884278293,409.17227,403.6593605178386,406.38324,404.1757192948446,410.5871,402.5316952290372,406.80502
23,395.8128358710635,402.4102,396.50455778586297,394.09076,397.27981892975487,398.24673,396.0088321065763,400.93338,395.5166427856887,401.50702,396.6799950149068,397.44266,397.6114220956957,401.21884,397.12194216518765,398.8219,396.48272746225047,402.25742,396.68531592631683,399.4805
